FI,Session,Group,Sujeto,Breakpoint,NT_bp,PRP,FI_letra,Sujeto_total,FI_Letra
30,3,S,9,20.87017543,57,12.1196721,B,209,B
30,3,S,11,17.81607144,56,13.58688529,B,2011,B
30,4,S,1,23.08181812,33,23.38196728,B,201,B
30,4,S,3,19.98214279,56,8.347540953,B,203,B
30,4,S,5,19.3566038,53,14.04098353,B,205,B
30,4,S,7,20.8692308,52,17.2131147,B,207,B
30,4,S,9,20.00566034,53,12.30983608,B,209,B
30,4,S,11,18.02909081,55,14.59672125,B,2011,B
30,5,S,1,23.54102555,39,23.18688507,B,201,B
30,5,S,3,19.56481473,54,6.945901621,B,203,B
30,5,S,5,20.77719302,57,14.32295073,B,205,B
30,5,S,7,21.22500002,48,18.59508198,B,207,B
30,5,S,9,20.08000006,50,11.76065575,B,209,B
30,5,S,11,19.16440681,59,15.36557379,B,2011,B
30,1,C,2,21.53749997,56,17.31803285,B,202,B
30,1,C,4,22.28461555,52,19.72131153,B,204,B
30,1,C,6,22.14599998,50,16.47868849,B,206,B
30,1,C,8,22.29600006,50,18.53770491,B,208,B
30,1,C,12,19.6706898,58,17.15409845,B,2012,B
30,1,C,16,20.53018865,53,15.37377055,B,2016,B
30,2,C,2,20.75438596,57,16.93278695,B,202,B
30,2,C,4,20.48039225,51,17.70983607,B,204,B
30,2,C,6,24.65384612,52,20.09016387,B,206,B
30,2,C,8,20.93061221,49,17.71967216,B,208,B
30,2,C,12,18.04181815,55,15.57377047,B,2012,B
30,2,C,16,18.92631579,57,13.31475412,B,2016,B
30,3,C,2,21.39152543,59,17.2032787,B,202,B
30,3,C,4,20.64666672,45,19.44754091,B,204,B
30,3,C,6,24.48400005,50,20.13114743,B,206,B
30,3,C,8,20.46774197,31,17.29672124,B,208,B
30,3,C,12,19.89777773,45,17.23606562,B,2012,B
30,3,C,16,19.68301895,53,14.38196715,B,2016,B
30,4,C,2,21.14814815,54,17.94918027,B,202,B
30,4,C,4,21.30204084,49,18.55081972,B,204,B
30,4,C,6,25.19268296,41,20.97213105,B,206,B
30,4,C,8,20.63818183,55,16.91967212,B,208,B
30,4,C,12,18.87222219,54,14.98852471,B,2012,B
30,4,C,16,19.51851854,54,12.88032786,B,2016,B
30,5,C,2,22.30943392,53,19.5196721,B,202,B
30,5,C,4,20.96315798,38,20.45409825,B,204,B
30,5,C,6,25.87777778,45,19.73770488,B,206,B
30,5,C,8,19.88200005,50,16.39672128,B,208,B
30,5,C,12,19.39310335,58,16.17049183,B,2012,B
30,5,C,16,17.36153859,13,12.88196724,B,2016,B
15,1,S,1,10.65599997,50,7.272131142,A,301,A
15,1,S,3,9.50892858,56,5.439344262,A,303,A
15,1,S,5,9.583333289,54,5.465573747,A,305,A
15,1,S,7,10.75593222,59,5.490163913,A,307,A
15,1,S,9,12.08163271,49,10.39672132,A,309,A
15,1,S,11,12.19347836,46,9.886885266,A,3011,A
15,1,S,17,10.08333333,48,8.30983604,A,3017,A
15,1,S,19,9.696721296,61,5.370491819,A,3019,A
15,2,S,1,10.84423076,52,7.680327886,A,301,A
15,2,S,3,9.889473723,57,5.793442581,A,303,A
15,2,S,5,9.832653007,49,6.700000005,A,305,A
15,2,S,7,10.38620694,58,5.062295077,A,307,A
15,2,S,9,12.42978729,47,11.09999998,A,309,A
15,2,S,11,11.92500001,48,9.685245913,A,3011,A
15,2,S,17,10.48947367,57,7.860655775,A,3017,A
15,2,S,19,9.570909101,55,5.713114768,A,3019,A
15,3,S,1,10.86199999,50,6.606557451,A,301,A
15,3,S,3,9.391379299,58,6.016393418,A,303,A
